asset,entry_hour,exit,n,gross_per_vega,net_per_vega,t,sharpe,hit_rate,median,worst,mean_hold_hours,mean_iv_change,cost_per_vega,rehedge_minutes
ETH,12,mon_00,205,0.00569112149318222,-0.09562350494737573,-9.333326688961938,-4.700685641898677,0.2097560975609756,-0.06814857537440643,-0.7062312796817205,59.47167540514906,0.09779414553758574,0.10131462644055794,5.0
ETH,18,sat_00,228,0.03792452008496612,-0.02474541374020306,-3.2813491770167116,-1.5670638623760804,0.4473684210526316,-0.006175424083699687,-0.5108782691438434,5.551779621101364,-0.03999166488647461,0.06266993382516917,5.0
ETH,18,sat_12,218,0.08683610196116909,-0.003898475546417662,-0.42375639776948276,-0.20696156184612371,0.5321100917431193,0.00892564692934179,-0.5887662359607322,17.57104096202854,-0.07758073386796023,0.09073457750758675,5.0
ETH,18,sun_00,188,0.07032414100527765,-0.051443795280109963,-3.1584293454371037,-1.6610928669360718,0.44148936170212766,-0.024518376110849352,-1.7033601968191858,29.576383026004727,0.000982977963508451,0.12176793628538761,5.0
ETH,18,mon_00,192,0.011975676092110891,-0.0886028972987204,-7.307434038368306,-3.8029092452531987,0.2604166666666667,-0.07180965344483253,-0.8825059611959094,53.54444106770834,0.11510885447263719,0.10057857339083127,5.0
SOL,12,sun_00,7,-0.02622988814303128,-0.12915143556242598,-1.383169162720161,-3.769883675742331,0.2857142857142857,-0.08827604633281254,-0.6487276436713313,35.817817142857145,-0.014128559657505606,0.10292154741939472,
SOL,0,sat_00,6,0.015858308509211747,-0.1311144844132626,-1.7262567989458413,-5.081962414054086,0.16666666666666666,-0.05231352805008599,-0.47698163297445634,23.909931435185186,-0.19108334859212242,0.14697279292247434,5.0
SOL,0,sat_12,0,,,,,,,,,,,5.0
SOL,0,sun_00,0,,,,,,,,,,,5.0
SOL,0,mon_00,0,,,,,,,,,,,5.0
SOL,6,sat_00,14,0.03638862230812138,-0.09958082967827106,-1.3728377115885346,-2.645799040564137,0.35714285714285715,-0.06594676288942881,-0.6087772798404816,17.67107777777778,-0.10851427623203821,0.1359694519863924,5.0
SOL,6,sat_12,0,,,,,,,,,,,5.0
SOL,6,sun_00,0,,,,,,,,,,,5.0
SOL,6,mon_00,0,,,,,,,,,,,5.0
SOL,12,sat_00,20,0.032194584764051265,-0.03840661928639069,-1.3242111766271076,-2.1352263638290876,0.5,0.004905620311829965,-0.3366549665691223,11.793730930555553,-0.11655500411987303,0.07060120405044196,5.0
SOL,12,sat_12,6,0.04639188379839861,-0.029996591864200034,-0.54360006973815,-1.6003152742821605,0.3333333333333333,-0.01388271955977198,-0.278475933203001,23.80870291666667,-0.1241666603088379,0.07638847566259864,5.0
SOL,12,mon_00,17,-0.010501937129747512,-0.0628598448355135,-2.5386671648133246,-4.440000070432358,0.17647058823529413,-0.03433586746897952,-0.3015200372862253,59.68634483660131,0.052035291335161986,0.052357907705765996,5.0
SOL,18,sat_00,17,0.0684974617244981,0.00711309493862482,0.34389701820590546,0.6014584370172745,0.5294117647058824,0.009597997424314528,-0.15629521159241844,5.785675261437908,-0.07535294925465302,0.06138436678587327,5.0
SOL,18,sat_12,14,0.07044227067771903,-0.007136192127200098,-0.2700475990648199,-0.5204487555091989,0.6428571428571429,0.033230241218552656,-0.21259960332289476,17.718977539682538,-0.07746429988316125,0.07757846280491913,5.0
SOL,18,sun_00,10,0.10891519992449031,-0.011542958362409591,-0.2005184831111478,-0.45725249344297453,0.5,0.007358528816591613,-0.35170949431804177,29.942973222222225,-0.07195000076293942,0.1204581582868999,5.0
SOL,18,mon_00,14,0.01889479245440896,-0.02966839303810766,-0.9169076756283919,-1.7671086888022467,0.2857142857142857,-0.05679926548633482,-0.2493658235668329,53.626943214285724,0.06993570055280415,0.048563185492516626,5.0
XRP,12,sun_00,4,0.10053264904631393,0.005216356864333221,0.09200181810534101,0.33171727261471823,0.5,-0.0032576172379566136,-0.12171825430859569,35.91296930555555,-0.1404000186920166,0.09531629218198072,
XRP,0,sat_00,4,0.27361243157733117,0.14735265470912862,6.4076786407701904,23.10321389599232,1.0,0.16305135202617488,0.08166930529796207,24.105915972222224,-0.20540000915527346,0.12625977686820253,5.0
XRP,0,sat_12,0,,,,,,,,,,,5.0
XRP,0,sun_00,0,,,,,,,,,,,5.0
XRP,0,mon_00,0,,,,,,,,,,,5.0
XRP,6,sat_00,2,0.40835014531543146,0.29211143284153374,9.525814400672271,48.57231351189106,1.0,0.29211143284153374,0.26144618779740203,17.782495416666666,-0.35354999542236326,0.11623871247389772,5.0
XRP,6,sat_12,0,,,,,,,,,,,5.0
XRP,6,sun_00,0,,,,,,,,,,,5.0
XRP,6,mon_00,0,,,,,,,,,,,5.0
XRP,12,sat_00,5,0.0486855885668193,-0.016442827469903862,-0.27958612045218834,-0.9016381463729546,0.4,-0.020720312628378985,-0.200712441206018,11.790739833333332,-0.0858199920654297,0.06512841603672317,5.0
XRP,12,sat_12,3,0.12750806276205015,0.054173379161360065,0.6805436467320047,2.833329141109411,0.6666666666666666,0.0164664467485892,-0.06092686922590216,23.609498703703704,-0.09050001780192053,0.0733346836006901,5.0
XRP,12,mon_00,5,0.05361562901064516,-0.0017803848167205296,-0.12092105929985512,-0.3899586989090901,0.2,-0.01567960194970107,-0.02897237614410096,59.93124644444445,0.04603998565673832,0.055396013827365684,5.0
XRP,18,sat_00,3,-0.047832086524923954,-0.11897221802282566,-6.2407719617061055,-25.982405606210317,0.0,-0.12202108245332634,-0.15036134746786042,5.974529907407408,-0.08950002034505207,0.07114013149790172,5.0
XRP,18,sat_12,4,0.01744393982337673,-0.07018872576762956,-1.7726823536153402,-6.391497121070296,0.25,-0.06799952249248327,-0.16649017040684433,17.644101527777778,-0.0917250156402588,0.0876326655910063,5.0
XRP,18,sun_00,4,0.06344076767714713,-0.05247159944280605,-1.068251774430396,-3.8516365478141843,0.25,-0.07319360742015912,-0.14843419790922158,29.910986527777776,-0.03182499885559084,0.11591236711995316,5.0
XRP,18,mon_00,4,0.18882297492853112,0.13126212217878042,0.8826450610739026,3.182422025737,0.75,0.10996967399802589,-0.1966108266097292,53.913900625,-0.09707498550415047,0.057560852749750674,5.0
