weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2025-08-23 00:00:00+00:00,3.0681,3.0247,3.1261,2.9718,-1.41456,5.19214,0.588255,0.731627,0.804037,0.724593,0.772103,0.136338,0.938467
2025-08-30 00:00:00+00:00,2.8193,2.7759,2.8673,2.7661,-1.53939,3.65858,0.363103,0.614964,0.590446,0.6293,0.788257,0.266197,0.798343
2025-09-06 00:00:00+00:00,2.8166,2.8824,2.9103,2.7951,2.33615,4.1215,0.337905,0.524822,0.643847,0.593724,0.687442,0.255819,0.863671
2025-09-13 00:00:00+00:00,3.105,3.0307,3.1875,3.0139,-2.39291,5.75998,0.437939,0.498069,0.879273,0.508846,0.630698,0.0709068,0.806798
2025-09-20 00:00:00+00:00,2.9934,2.9758,3.0164,2.9597,-0.58796,1.91573,0.284872,0.490353,0.580953,0.507433,0.631166,0.222561,0.803962
2025-09-27 00:00:00+00:00,2.781,2.8665,2.8689,2.7669,3.07443,3.68644,0.401476,0.719154,0.558261,0.531035,0.638858,0.129559,0.831226
2025-10-04 00:00:00+00:00,3.0483,2.9757,3.0668,2.9442,-2.38166,4.16412,0.436226,0.501643,0.869594,0.564727,0.655065,0.128502,0.862094
2025-10-11 00:00:00+00:00,2.3868,2.5351,2.5727,2.3104,6.21334,11.353,1.31656,3.27378,0.402154,0.479722,0.619279,-0.836842,0.774646
2025-10-18 00:00:00+00:00,2.2952,2.3916,2.4148,2.2949,4.20007,5.22463,0.556869,0.942769,0.590674,0.774085,0.876871,0.217216,0.882781
2025-10-25 00:00:00+00:00,2.5063,2.6461,2.6586,2.5041,5.57794,6.16988,0.56455,0.653503,0.863883,0.641359,0.843614,0.0768097,0.760252
2025-11-01 00:00:00+00:00,2.5017,2.527,2.5456,2.4777,1.01131,2.74044,0.434005,0.767721,0.565316,0.602247,0.769669,0.168242,0.782475
2025-11-08 00:00:00+00:00,2.3184,2.3662,2.382,2.2431,2.06177,6.19232,0.638106,1.11103,0.574335,0.680524,0.874334,0.0424178,0.778333
2025-11-15 00:00:00+00:00,2.2544,2.2149,2.2987,2.1647,-1.75213,6.19023,0.781223,0.951156,0.821341,0.837073,0.883144,0.0558499,0.947832
2025-11-22 00:00:00+00:00,1.9481,2.0488,2.0796,1.8916,5.16914,9.93868,0.801778,1.10238,0.727315,0.877849,0.967465,0.0760713,0.90737
2025-11-29 00:00:00+00:00,2.1795,2.155,2.2205,2.155,-1.12411,3.03944,0.422102,0.83546,0.505233,0.59675,0.868513,0.174648,0.687094
2025-12-06 00:00:00+00:00,2.0271,2.0427,2.1086,1.9988,0.769572,5.4933,0.563746,0.739585,0.762247,0.634173,0.91078,0.0704271,0.696297
2025-12-13 00:00:00+00:00,2.0094,1.9783,2.0464,1.9781,-1.54773,3.45281,0.337691,0.619525,0.54508,0.579898,0.827587,0.242207,0.700709
2025-12-20 00:00:00+00:00,1.9079,1.9233,1.9553,1.8944,0.80717,3.21474,0.420987,0.721586,0.583419,0.578715,0.756737,0.157728,0.764751
2025-12-27 00:00:00+00:00,1.8417,1.8641,1.8769,1.8417,1.21627,1.91128,0.236168,0.461322,0.511937,0.505886,0.64308,0.269718,0.78666
2026-01-03 00:00:00+00:00,2.0083,2.0903,2.12,1.9904,4.08306,6.51125,0.556863,0.413157,1.34782,0.517883,0.544195,-0.0389797,0.951649
2026-01-10 00:00:00+00:00,2.0936,2.0694,2.1073,2.0474,-1.1559,2.92566,0.370807,0.844523,0.439072,0.518549,0.850791,0.147743,0.609491
2026-01-17 00:00:00+00:00,2.0686,1.9904,2.0814,1.9904,-3.78033,4.57195,0.31734,0.586651,0.540935,0.48474,0.65865,0.1674,0.73596
2026-01-24 00:00:00+00:00,1.9198,1.833,1.9224,1.8112,-4.5213,6.13958,0.404472,0.711418,0.568542,0.445568,0.639444,0.0410966,0.696806
2026-01-31 00:00:00+00:00,1.7311,1.5896,1.7499,1.5506,-8.17399,12.8531,1.10161,0.710132,1.55127,0.647406,0.632048,-0.454199,1.0243
2026-02-07 00:00:00+00:00,1.4506,1.4297,1.4839,1.3859,-1.44078,7.07122,1.09213,1.62487,0.672133,1.10854,0.886294,0.0164142,1.25076
2026-02-14 00:00:00+00:00,1.4062,1.4744,1.6603,1.4048,4.84995,18.1876,0.940619,0.803664,1.17041,0.712541,0.990806,-0.228078,0.719153
2026-02-21 00:00:00+00:00,1.4252,1.3931,1.4619,1.3796,-2.25232,5.9655,0.38603,0.779636,0.495142,0.638016,0.838251,0.251986,0.761129
2026-02-28 00:00:00+00:00,1.3573,1.3505,1.4323,1.2703,-0.500995,12.7529,1.05485,0.782522,1.34802,0.602412,0.835276,-0.452441,0.721214
2026-03-07 00:00:00+00:00,1.3643,1.3423,1.3737,1.325,-1.61255,3.67547,0.503626,0.751066,0.670548,0.677411,0.802164,0.173785,0.84448
2026-03-14 00:00:00+00:00,1.396,1.4478,1.457,1.3866,3.7106,5.07717,0.429821,0.620037,0.693219,0.604237,0.744441,0.174416,0.811666
2026-03-21 00:00:00+00:00,1.4454,1.3874,1.4508,1.374,-4.01273,5.58952,0.421507,0.736387,0.572399,0.598448,0.813526,0.17694,0.735622
