entry_ts,exit_ts,instrument,cp,strike,expiry,hold_hours,wknd_frac,closed_frac,iv_in,iv_out,iv_change,index_in,index_out,index_move_pct,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
2020-01-03 12:27:19.735000+00:00,2020-01-05 00:00:00+00:00,BTC-10JAN20-7500-C,C,7500,2020-01-10 08:00:00+00:00,35.5445,0.293498,0.311842,0.4705,0.4391,-0.0314,7341.46,7376.36,0.475282,121.677,103.323,18.3539,10.4209,2.04355,383.143,28.7749,18.9753,0.0751022,0.0495254
2020-01-10 12:44:52.238000+00:00,2020-01-12 00:00:00+00:00,BTC-17JAN20-7750-P,P,7750,2020-01-17 08:00:00+00:00,35.2522,0.294024,0.3124,0.4943,0.5713,0.077,7877.72,8007.09,1.64229,153.056,112.246,40.8103,-67.8562,3.18801,413.999,-27.0459,-38.609,-0.0653283,-0.0932587
2020-01-17 12:43:14.790000+00:00,2020-01-19 00:00:00+00:00,BTC-24JAN20-9000-C,C,9000,2020-01-24 08:00:00+00:00,35.2792,0.293975,0.312348,0.604,0.5835,-0.0205,8869.03,8917.35,0.544874,233.618,212.862,20.7562,20.4045,2.9259,479.663,41.1608,28.7167,0.0858119,0.0598686
2020-01-24 12:43:51.995000+00:00,2020-01-26 00:00:00+00:00,BTC-31JAN20-8500-C,C,8500,2020-01-31 08:00:00+00:00,35.2689,0.293994,0.312368,0.4618,0.4414,-0.0204,8421.73,8324.57,-1.15371,176.392,104.83,71.5615,-49.2472,3.29815,456.688,22.3142,10.0103,0.048861,0.0219193
2020-01-31 12:43:42.923000+00:00,2020-02-02 00:00:00+00:00,BTC-7FEB20-9250-C,C,9250,2020-02-07 08:00:00+00:00,35.2714,0.293989,0.312363,0.5295,0.4978,-0.0317,9280.91,9384.56,1.11675,283.482,297.322,-13.8399,57.231,3.34884,504.895,43.3911,30.0404,0.0859409,0.0594984
2020-02-07 12:44:19.360000+00:00,2020-02-09 00:00:00+00:00,BTC-9FEB20-9625-P,P,9625,2020-02-09 08:00:00+00:00,35.2613,0.739691,0.809037,0.4412,0.6078,0.1666,9733.9,9895.52,1.66035,74.0214,5.14553,68.8759,-41.3717,3.92071,256.485,27.5041,17.7837,0.107235,0.0693364
2020-02-28 12:42:55.363000+00:00,2020-03-01 00:00:00+00:00,BTC-1MAR20-8625-C,C,8625,2020-03-01 08:00:00+00:00,35.2846,0.739293,0.808601,0.6408,0.5786,-0.0622,8508.49,8536.02,0.323506,103.849,25.5901,78.259,2.88086,4.80612,231.528,81.1398,69.2016,0.350454,0.298891
2020-03-06 12:26:54.197000+00:00,2020-03-08 00:00:00+00:00,BTC-8MAR20-9125-C,C,9125,2020-03-08 08:00:00+00:00,35.5516,0.73476,0.803644,0.3992,0.6058,0.2066,9121.51,8873.67,-2.71712,101.235,4.55291,96.6821,-123.079,6.32338,257.9,-26.3972,-38.2748,-0.102355,-0.14841
2020-03-13 12:03:01.980000+00:00,2020-03-15 00:00:00+00:00,BTC-15MAR20-5750-C,C,5750,2020-03-15 08:00:00+00:00,35.9494,0.728109,0.819123,1.9801,1.8389,-0.1412,5439.49,5145.88,-5.39765,181.835,2.58319,179.252,-80.5266,2.79129,145.863,98.7255,92.7077,0.676836,0.635579
2020-03-27 12:21:09.597000+00:00,2020-03-29 00:00:00+00:00,BTC-29MAR20-6625-C,C,6625,2020-03-29 08:00:00+00:00,35.6473,0.733149,0.824793,0.8405,1.2851,0.4446,6661.35,6278.36,-5.74936,176.684,9.51496,167.169,-221.21,3.92626,186.954,-54.0414,-62.7855,-0.289063,-0.335835
2020-04-03 12:34:08.859000+00:00,2020-04-05 00:00:00+00:00,BTC-5APR20-7000-C,C,7000,2020-04-05 08:00:00+00:00,35.4309,0.736803,0.828903,0.9542,0.9768,0.0226,6995.67,6885.91,-1.56897,186.599,37.0639,149.535,-116.891,4.06891,197.734,32.6447,22.6873,0.165094,0.114736
2020-04-10 12:11:41.167000+00:00,2020-04-12 00:00:00+00:00,BTC-12APR20-7000-C,C,7000,2020-04-12 08:00:00+00:00,35.8052,0.730506,0.82182,0.6978,0.6811,-0.0167,6928.03,6902.07,-0.374708,104.385,20.9828,83.4023,-45.3103,4.11605,192.585,38.092,28.1477,0.197793,0.146157
2020-04-17 11:30:13.942000+00:00,2020-04-19 00:00:00+00:00,BTC-19APR20-7000-P,P,7000,2020-04-19 08:00:00+00:00,36.4961,0.719164,0.809059,0.6013,0.9678,0.3665,7081.09,7258.05,2.49897,83.4855,10.8172,72.6683,-65.3388,3.40221,191.876,7.3295,-1.22218,0.0381991,-0.00636962
2020-04-24 12:01:21.263000+00:00,2020-04-26 00:00:00+00:00,BTC-26APR20-7375-P,P,7375,2020-04-26 08:00:00+00:00,35.9774,0.727646,0.818602,0.548,0.5687,0.0207,7467.67,7530.8,0.845379,74.5357,6.94675,67.589,-24.5091,2.82802,199.218,43.0799,35.4063,0.216245,0.177726
2020-05-01 12:42:08.231000+00:00,2020-05-03 00:00:00+00:00,BTC-3MAY20-8875-P,P,8875,2020-05-03 08:00:00+00:00,35.2977,0.739069,0.831453,0.7944,0.7438,-0.0506001,8853.42,8997.91,1.63207,210.046,33.2273,176.819,-88.2191,5.41283,250.291,88.5997,75.6492,0.353986,0.302244
