fri,entry_ts,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,iv_in,iv_out,iv_change,index_move_pct,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,vega_traded_in_window,net_per_vega,gross_per_vega
2019-05-10,2019-05-10 12:19:34.244000+00:00,BTC-17MAY19-6250-P,P,6250,2019-05-17 08:00:00+00:00,6.83333,0.293266,0.483876,0.7055,1.116,0.4105,16.0632,340.626,75.7117,-0.051622,-0.00321617,0.58061,-0.00163472,340.288,-0.261256,-0.231619
2019-05-17,2019-05-17 11:44:40.313000+00:00,BTC-24MAY19-7250-C,C,7250,2019-05-24 08:00:00+00:00,6.83333,0.292228,0.487567,1.1764,0.9279,-0.2485,2.5621,388.499,45.4052,-0.086078,0.00511925,1.19458,-0.00561015,388.803,0.285877,0.311898
2019-05-24,2019-05-24 12:01:38.750000+00:00,BTC-31MAY19-8000-C,C,8000,2019-05-31 08:00:00+00:00,6.83333,0.292732,0.538334,0.8589,0.8516,-0.00729996,0.856251,436.588,62.1896,-0.0628463,-0.00238461,0.181093,-0.000618372,1311.3,0.0589027,0.0857572
2019-05-24,2019-05-24 11:37:51.722000+00:00,BTC-31MAY19-8500-C,C,8500,2019-05-31 08:00:00+00:00,6.83333,0.292026,0.352577,0.8719,0.8665,-0.00540001,-0.082697,409.822,61.2623,-0.0637976,0.216533,4.17632,-0.0135362,1232.77,0.0976795,0.123684
2019-06-07,2019-06-07 11:59:49.581000+00:00,BTC-14JUN19-8000-C,C,8000,2019-06-14 08:00:00+00:00,6.83333,0.292678,0.476589,0.7376,0.6996,-0.038,0.247094,431.157,72.4168,-0.0539707,0.0127088,1.58182,-0.00465207,866.325,0.0778679,0.104515
2019-06-07,2019-06-07 11:58:17.873000+00:00,BTC-14JUN19-8000-P,P,8000,2019-06-14 08:00:00+00:00,6.83333,0.292632,0.526573,0.7259,0.6906,-0.0353,0.613298,430.712,73.584,-0.0531146,0.0152465,1.67128,-0.00483479,1292.54,0.0938454,0.120909
2019-06-14,2019-06-14 11:49:11.609000+00:00,BTC-21JUN19-8500-C,C,8500,2019-06-21 08:00:00+00:00,6.83333,0.292362,0.412947,0.673,0.7314,0.0584,6.77558,441.906,79.368,-0.0492439,0.10213,3.39066,-0.00889596,8880.55,-0.0957095,-0.0673176
2019-06-28,2019-06-28 12:00:26.589000+00:00,BTC-5JUL19-12000-C,C,12000,2019-07-05 08:00:00+00:00,6.83333,0.292696,0.554927,1.256,1.2584,0.00239998,-0.146545,654.657,42.5276,-0.0919024,-0.00370965,0.196293,-0.000975371,2596.74,-0.00465312,0.0236714
2019-06-28,2019-06-28 12:23:22.622000+00:00,BTC-5JUL19-12500-C,C,12500,2019-07-05 08:00:00+00:00,6.83333,0.29338,0.418667,1.3188,1.1369,-0.1819,1.93867,633.511,40.5025,-0.0964976,0.0598463,2.13521,-0.0110135,1265.87,0.0182114,0.0465904
2019-07-12,2019-07-12 11:54:45.949000+00:00,BTC-19JUL19-12000-C,C,12000,2019-07-19 08:00:00+00:00,6.83333,0.292527,0.459159,1.0071,1.102,0.0949,-2.77639,636.371,53.0381,-0.0736902,0.0244964,1.74469,-0.00698104,1273.89,-0.0569516,-0.0293871
2019-07-12,2019-07-12 11:44:38.985000+00:00,BTC-19JUL19-11500-C,C,11500,2019-07-19 08:00:00+00:00,6.83333,0.292227,0.577951,1.0811,1.1347,0.0536,-2.78918,626.991,49.4077,-0.0791049,0.00887304,-0.329696,0.00139636,627.485,-0.00292479,0.0257265
2019-07-19,2019-07-19 12:00:54.429000+00:00,BTC-26JUL19-10500-C,C,10500,2019-07-26 08:00:00+00:00,6.83333,0.29271,0.486624,1.2371,1.325,0.0879,6.33397,561.486,43.1773,-0.0905195,0.00549568,1.19806,-0.00591639,2266.14,-0.236848,-0.210244
2019-07-19,2019-07-19 12:02:01.088000+00:00,BTC-26JUL19-10500-P,P,10500,2019-07-26 08:00:00+00:00,6.83333,0.292743,0.513117,1.3133,1.3306,0.0173,4.09366,560.349,40.6721,-0.0960951,0.00531897,1.18289,-0.0062014,2841.78,0.0591431,0.0858149
2019-07-19,2019-07-19 12:02:37.052000+00:00,BTC-26JUL19-10000-P,P,10000,2019-07-26 08:00:00+00:00,6.83333,0.292761,0.402846,1.2674,1.3349,0.0675001,4.21421,544.423,42.145,-0.0927366,0.0140834,-0.418448,0.0020551,7066.89,0.016103,0.0422325
2019-07-19,2019-07-19 12:05:20.136000+00:00,BTC-26JUL19-10000-C,C,10000,2019-07-26 08:00:00+00:00,6.83333,0.292842,0.596023,1.2439,1.3101,0.0662,4.78412,544.412,42.9413,-0.0910171,0.0142342,-0.428027,0.00206465,1088.89,-0.40145,-0.37252
2019-07-19,2019-07-19 12:09:39.973000+00:00,BTC-26JUL19-11000-C,C,11000,2019-07-26 08:00:00+00:00,6.83333,0.292971,0.4211,1.2586,1.1847,-0.0739,4.32123,560.489,42.4397,-0.0920927,0.0586467,2.15498,-0.0106208,1704,-0.11797,-0.0912871
2019-07-19,2019-07-19 12:10:50.514000+00:00,BTC-26JUL19-11500-C,C,11500,2019-07-26 08:00:00+00:00,6.83333,0.293006,0.370607,1.3107,1.2183,-0.0924001,1.42194,551.381,40.7528,-0.0959049,0.128216,2.8399,-0.0140793,551.026,0.116314,0.142325
2019-07-26,2019-07-26 11:34:04.903000+00:00,BTC-2AUG19-9500-C,C,9500,2019-08-02 08:00:00+00:00,6.83333,0.291914,0.619621,0.9908,1.0048,0.014,-3.71732,511.2,53.9106,-0.0724976,0.0520172,-1.24765,0.0047134,511.908,-0.0672512,-0.037818
